0	exp	specie	TFclass	antibody	treatment	cell_line	peak_id	tf	control_id	cotrol_anti	externalrefs	Uniprot_ID	Uniprot_AC	control_refs	gem_peaks	sissrs_peaks	macs_peaks	macs_filter_peaks	pics_peaks
1008	EXP010666	Homo sapiens	1.1.2.1.1	c-Fos	None	GM12878	PEAKS033778	c-Fos	EXP010122	Input	GEO:GSM935409	P01100	FOS_HUMAN	GEO:GSM935413	2364	2345	3547	1482	1106
1009	EXP031873	Homo sapiens	1.2.6.5.1	anti-Myc (Santa Cruz sc-764)		HeLa	PEAKS034875	c-Myc			GEO:GSM1058989,GEO:GSE43227	P01106	MYC_HUMAN		42760	61526	54139	54139	33197
1010	EXP031165	Mus musculus	2.1.2.3.1	REV-ERB alpha		liver	PEAKS035783	Rev-ErbA&#945; (NR1D1)	EXP031164	none	GEO:GSM840528,GEO:GSE34019,PUBMED:22460952	Q3UV55	NR1D1_MOUSE	GEO:GSM840530,GEO:GSE34019,PUBMED:22460952	20036	13320	29028	28989	
1011	EXP011041	Homo sapiens	2.3.3.50.1	CTCF	None	K562	PEAKS033911	CTCF [11]	EXP010582	Input	GEO:GSM733719	P49711	CTCF_HUMAN	GEO:GSM733780	58704	13872	61319	61319	36696
1012	EXP031658	Mus musculus	6.2.1.0.3	STAT3 (Invitrogen, 13-7000)		Th17 Cells	PEAKS036050	STAT3	EXP031634	Rabbit IgG (R&D, AB-105-C, ER11)	GEO:GSM978772,GEO:GSE39756,PUBMED:22992523	P42227	STAT3_MOUSE	GEO:GSM978766,GEO:GSE39756,PUBMED:22992523	26337	1309	33555	27574	1
1013	EXP032811	Mus musculus	2.7.3.0.1	MYST1 (BETHYL, A3000992A)		Neuronal progenitor cells	PEAKS036561	MYST1 (TIP60 protein 1) [1]	EXP032807	none	GEO:GSM1251955,GEO:GSE51746,PUBMED:24842875	Q9D1P2	KAT8_MOUSE	GEO:GSM1251953,GEO:GSE51746,PUBMED:24842875	3	51	127	0	
1014	EXP030904	Homo sapiens	3.5.2.1.6	ERG		APL pz74 (leukemic)	PEAKS034649	ERG			GEO:GSM585608,GEO:GSE23730,PUBMED:22983443	P11308	ERG_HUMAN		86608	246586	90816	90816	126287
1015	EXP031891	Mus musculus	3.1.2.14.1	BL4000		mixed 129/B6	PEAKS036160	NKX-2.1 (NKX2-1, TTF-1)	EXP031885	n/a	GEO:GSM1059354,GEO:GSE43252,PUBMED:23523371	P50220	NKX21_MOUSE	GEO:GSM1059356,GEO:GSE43252,PUBMED:23523371	16744	11521	33498	33498	10812
1016	EXP011205	Homo sapiens	1.2.6.5.5	Max	None	ECC-1	PEAKS034045	Max	EXP010824	RevXlinkChromatin	GEO:GSM1010807	P61244	MAX_HUMAN	GEO:GSM1010874	30344	9822	42865	36178	6929
1017	EXP010595	Homo sapiens	2.3.3.28.2	Znf143_(16618-1-AP)	None	GM12878	PEAKS033740	ZNF143 [7] (SBF, STAF)	EXP010122	Input	GEO:GSM935613	P52747	ZN143_HUMAN	GEO:GSM935413	37369	2224	21624	2224	290
1018	EXP031152	Homo sapiens	6.4.1.0.2	Santa Cruz SC-8563		CCRF-CEM	PEAKS034712	Runx1 (PEBP2&#945;B, CBF-&#945;2, AML-1)	EXP031146	None	GEO:GSE33850,GEO:GSM837994,GEO:GSM837995,PUBMED:22897851	Q01196	RUNX1_HUMAN	GEO:GSM838004,GEO:GSE33850,GEO:GSM837989,PUBMED:22897851	566	14	2115	0	1
1019	EXP030843	Homo sapiens	6.7.1.1.2	GRHL2		Bronchial Epithelial Cells	PEAKS034632	GRH-L2 (CP2-L3)	EXP030840	none	GEO:GSM1125984,GEO:GSE46194,PUBMED:23690579	Q6ISB3	GRHL2_HUMAN	GEO:GSM1125987,GEO:GSE46194,PUBMED:23690579	27110	13183	44138	44138	16310
1020	EXP000116	Mus musculus	4.1.3.0.5	Taf1 (L-20)		T cells	PEAKS035208	TAF-1 (TAF-2A, TAF(II)250) [1]			GEO:GSM727000,GEO:GSE29362,PUBMED:21765417	Q80UV9	TAF1_MOUSE		5228	174491	10435	10435	104059
1021	EXP032765	Mus musculus	3.5.2.5.1	Anti-PU.1 (in-house rabbit polyclonal against the N-Terminal (aa. 1-100))		BMDM cells (7th day of differentiation)	PEAKS036537	PU.1 (Spi-1)			GEO:GSE50762,PUBMED:24813947,GEO:GSM1228674,GEO:GSM1228676	P17433	SPI1_MOUSE		43808	56977	42884	42884	32423
1022	EXP030456	Mus musculus	1.2.5.2.5	anti-CLK (Novus Biological; #NB100-126; lot B1)		C57BL/6, Liver	PEAKS035551	CLOCK	EXP030455	none (input)	GEO:GSM904671,GEO:GSE36874,PUBMED:23150795	O08785	CLOCK_MOUSE	GEO:GSM904673,GEO:GSE36874,PUBMED:23150795	353	145	220	0	
1023	EXP030552	Mus musculus	2.3.3.50.1	CTCF (Millipore ref: 07-729 lot: DAM1772428)	stimulated	C57BL/6, CD43- B cells extracted from spleen	PEAKS035573	CTCF [11]	EXP030550	Rabbit IgG (Bethyl, ref: P120-101 lot: P120-101-8)	GEO:GSM1066043,GEO:GSE43594,PUBMED:24145512	Q61164	CTCF_MOUSE	GEO:GSM1066042,GEO:GSE43594,PUBMED:24145512	7002	4637	16382	16349	3
1024	EXP011229	Homo sapiens	3.3.1.1.1	FOXA1_(SC-101058)	DEX_100nM	A549	PEAKS034064	FOXA1 (HNF-3&#945;)	EXP010907	Input	GEO:GSM1010826	P55317	FOXA1_HUMAN	GEO:GSM1010725	4155	1785	6908	1014	332
1025	EXP032539	Mus musculus	3.5.2.2.3	sc-13030	U0126 10uM	NIH3T3 fibroblasts	PEAKS036466	Elk-4 (SAP-1)	EXP032529	none	GEO:GSM1118322,GEO:GSE45888,PUBMED:24732378	P41158	ELK4_MOUSE	GEO:GSM1118356,GEO:GSE45888,PUBMED:24732378	55	411	67	1	1
1026	EXP000082	Mus musculus	2.3.3.50.1	goat-anti-eGFP, raised against His-tagged full-length eGFP and affinity-purified with GST-tagged full-length eGFP		R1/E ESC	PEAKS035261	CTCF [11]	EXP000083	Goat IgG isotype control	GEO:GSM634247,GEO:GSE25777,PUBMED:21589869	Q61164	CTCF_MOUSE	GEO:GSM634248,GEO:GSE25777,PUBMED:21589869	15041	16651	30360	30342	7956
1027	EXP032036	Mus musculus	1.1.8.1.2	C/EBPbeta sc-150, santa cruz	dex adGFP	liver	PEAKS036205	C/EBP&#946; (NF-IL6-1)	EXP032035	input	GEO:GSM1122530,GEO:GSE46047	P28033	CEBPB_MOUSE	GEO:GSM1122539,GEO:GSE46047,GEO:GSM1122537	43894	26546	48462	36200	
1028	EXP010243	Homo sapiens	1.1.8.1.2	CEBPB	None	HeLa-S3	PEAKS033548	C/EBP&#946; (NF-IL6-1)	EXP010054	Input	GEO:GSM935553	P17676	CEBPB_HUMAN	GEO:GSM935339	126293	18765	149815	149815	29239
1029	EXP000884	Homo sapiens	2.1.1.2.1	sc-543	ETOH (ethanol)	T47D breast cancer cells	PEAKS033129	Estrogen receptor &#945; (ER&#945;) (NR3A1)	EXP000892	input	GEO:GSM589239,GEO:GSE23893,PUBMED:21179027	P03372	ESR1_HUMAN	GEO:GSM589247,GEO:GSE23893,PUBMED:21179027	3874	3414	4186	1777	1008
1030	EXP010081	Homo sapiens	1.2.3.1.1	TAL1_(SC-12984)	None	K562	PEAKS033460	Tal-1 (SCL, TCL-5)	EXP010630	Input	GEO:GSM935496	P17542	TAL1_HUMAN	GEO:GSM935631	38601	10454	40662	39351	31
1031	EXP031827	Mus musculus	1.1.8.1.1	Sc-61	24 hours after partial hepatectomy	C57BL6/J	PEAKS036129	C/EBP&#945;	EXP031822	IgG	GEO:GSM1037661,GEO:GSE42321,PUBMED:23403033	P53566	CEBPA_MOUSE	GEO:GSM1037681,GEO:GSE42321,PUBMED:23403033	43348	3166	36577	12452	3
1032	EXP031791	Homo sapiens	1.2.5.2.1	sc-5580		MCF-7	PEAKS034860	Arnt (HIF-1&#946;)	EXP031789	IgG from rabbit serum (Sigma Aldrich, I5006)	GEO:GSM1024800,GEO:GSE41820,PUBMED:22903824	P27540	ARNT_HUMAN	GEO:GSE41820,PUBMED:22903824,GEO:GSM1024801,GEO:GSM1024802	24547	80620	127358	11716	3196
1033	EXP031598	Homo sapiens	3.4.1.0.1	HSF1 (H-311, Santa Cruz, sc-9144, Lot# J0510)		BT20 cells	PEAKS034814	HSF1 (HSTF1)	EXP031578	IGG (Santa Cruz, sc-2027, Lot# C2210)	GEO:GSE38901,GEO:GSM951895,GEO:GSM951894,PUBMED:22863008	Q00613	HSF1_HUMAN	GEO:GSM951896,GEO:GSE38901,PUBMED:22863008	1561	1167	6389	2913	81
1034	EXP032861	Homo sapiens	2.1.1.1.4	anti-AR	Vehicle	LNCAP	PEAKS035127	Androgen receptor (AR) (NR3C4)			PUBMED:24737870,GEO:GSM1207912,GEO:GSM1207911,GEO:GSE49832	P10275	ANDR_HUMAN		28324	29180	34016	34016	22971
1035	EXP000526	Homo sapiens	2.3.3.0.79	ZNF263		K562	PEAKS033378	ZNF263 [9] (FPM315, ZKSCAN12)			GEO:GSM476651,PUBMED:19887448,GEO:GSE19235,GEO:GSM476650	O14978	ZN263_HUMAN		10437	22013	22749	22749	8055
1036	EXP011195	Homo sapiens	1.1.7.1.1	CREB1_(SC-240)	None	ECC-1	PEAKS034035	CREB	EXP010856	RevXlinkChromatin	GEO:GSM1010857	P16220	CREB1_HUMAN	GEO:GSM1010874	3646	2992	6476	2951	1751
1037	EXP000306	Homo sapiens	2.1.3.2.1	HNF4a F domain		HepG2	PEAKS033103	HNF-4&#945; (NR2A1)			GEO:GSM469863,GEO:GSE18989,PUBMED:21047794	P41235	HNF4A_HUMAN		13978	13700	21097	21097	8704
1038	EXP032139	Mus musculus	1.2.5.2.5	anti-CLK		Liver cells of C57BL/6 mice	PEAKS036265	CLOCK	EXP032127		GEO:GSM1145693,GEO:GSE47144,PUBMED:24395244	O08785	CLOCK_MOUSE	GEO:GSM1145699,GEO:GSE47144,PUBMED:24395244	93	31557	1712	1712	15624
1039	EXP031276	Mus musculus	2.3.3.50.1	Upstate 07-729	LPS, 120 min	bone marrow-derived dendritic cells	PEAKS035849	CTCF [11]	EXP031268	none	GEO:GSM881053,GEO:GSE36099,PUBMED:22940246	Q61164	CTCF_MOUSE	GEO:GSM881123,GEO:GSE36099,PUBMED:22940246	26321	31597	36686	36652	45792
1040	EXP000791	Mus musculus	2.2.1.1.3	anti-Gata3 (558686, BD bioscience)		Natural Killer T cells	PEAKS035395	GATA-3			GEO:GSM523231,GEO:GSE20898,PUBMED:21867929	P23772	GATA3_MOUSE		4578	159845	6451	6451	9699
1041	EXP010191	Homo sapiens	3.1.6.3.2	SIX5	None	K562	PEAKS033519	SIX5	EXP010379	RevXlinkChromatin	GEO:GSM803378	Q8N196	SIX5_HUMAN	GEO:GSM803468	5115	6016	7624	7624	72291
1042	EXP031756	Mus musculus	6.2.1.0.6	STAT5B		Th9	PEAKS036090	STAT5B	EXP031755	Rabbit IgG (R&D Systems)	GEO:GSM1014575,GEO:GSE41317,PUBMED:24550509	P42232	STA5B_MOUSE	GEO:GSM1014574,GEO:GSE41317,PUBMED:24550509		5	92	0	
1043	EXP031389	Homo sapiens	1.2.6.5.1	Santa Cruz SC-764	cMyc expression released for 1 hours	P493-6	PEAKS034737	c-Myc	EXP031381	None	GEO:GSM894060,GEO:GSE36354,PUBMED:23021215	P01106	MYC_HUMAN	GEO:GSM894094,GEO:GSE36354,PUBMED:23021215	6641	2509	11295	21	543
1044	EXP032896	Mus musculus	3.5.2.5.1	PU.1 (sc-352)	wt human Htt overexpression	BV2	PEAKS036590	PU.1 (Spi-1)			GEO:GSM1315478,GEO:GSE54443,PUBMED:24584051	P17433	SPI1_MOUSE		52945	42816	53401	53401	26420
1045	EXP032478	Mus musculus	2.3.4.4.1	ikaros		Pro-B cell	PEAKS036426	IKZF1 [4+2] (IK1, IKAROS, Lyf-1, ZNFN1A1)	EXP032474	n.a.	GEO:GSM1296535,GEO:GSE53595	Q03267	IKZF1_MOUSE	GEO:GSM1296537,GEO:GSE53595	4033	5209	9472	3984	1
1046	EXP031121	Homo sapiens	2.1.1.1.4	AR	Vehicle (0.1% DMSO)	VCaP	PEAKS034702	Androgen receptor (AR) (NR3C4)	EXP031119	none	GEO:GSM817348,GEO:GSE32892,PUBMED:22849360	P10275	ANDR_HUMAN	GEO:GSM817346,GEO:GSE32892,PUBMED:22849360	19466	8123	25705	25705	8272
1047	EXP010036	Homo sapiens	3.5.2.5.1	PU.1	None	GM12891	PEAKS033438	PU.1 (Spi-1)	EXP010141	RevXlinkChromatin	GEO:GSM803398	P17947	SPI1_HUMAN	GEO:GSM803481	76940	9735	63264	63264	19471
1048	EXP032272	Homo sapiens	2.3.4.0.27	NRSF/REST Millipore #07-579	doxycycline 1mg/mL for 3 days	H295R/TR SF-1 cells	PEAKS034971	REST [1+7+1] (NRSF, XBR)	EXP032270	None	GEO:GSM1192175,GEO:GSE49014,PUBMED:23907384	Q13127	REST_HUMAN	GEO:GSE49014,PUBMED:23907384,GEO:GSM1192173,GEO:GSM1192172	2938	2739	2812	1821	49
1049	EXP000441	Mus musculus	1.2.1.0.1	sc-349x	anti-CD3e Ab injection	Rag2-/- thymocytes	PEAKS035411	E2A (TCF-3, ITF-1)	EXP000442		GEO:GSM756893,GEO:GSE30518,PUBMED:21857655	P15806	TFE2_MOUSE	GEO:GSM756896,GEO:GSE30518,PUBMED:21857655	1234	1897	3939	2	9
1050	EXP000781	Homo sapiens	2.3.3.50.1	CTCF		lymphoblastoid cells	PEAKS033284	CTCF [11]			GEO:GSM489302,GEO:GSE19622,PUBMED:20299549,GEO:GSM489301	P49711	CTCF_HUMAN		54544	91206	81664	81664	59165
1051	EXP031729	Mus musculus	2.3.3.9.1	ab12132		pro-B cells	PEAKS036085	YY1	EXP031728		GEO:GSM1002560,GEO:GSE40822,PUBMED:23027941	Q00899	TYY1_MOUSE	GEO:GSM1002561,GEO:GSE40822,PUBMED:23027941	2482	2778	3951	2917	614
1052	EXP011202	Homo sapiens	5.1.2.0.1	SRF	None	MCF-7	PEAKS034042	SRF	EXP010797	RevXlinkChromatin	GEO:GSM1010839	P11831	SRF_HUMAN	GEO:GSM1010854	5848	3346	14283	7752	1114
1053	EXP000273	Mus musculus	4.1.3.0.2	TCF7L1 (M-20)	24 hours of adipogenic stimuli	3T3-L1	PEAKS035197	TCF-7L1 (TCF-3) [1]			GEO:GSM790410,GEO:GSE31867,PUBMED:21914845	Q9Z1J1	TF7L1_MOUSE		1205	3957	2259	2259	1164
1054	EXP031290	Mus musculus	3.5.2.1.2	sc-351	LPS, 60 min	bone marrow-derived dendritic cells	PEAKS035863	c-Ets-2	EXP031270	none	GEO:GSM881067,GEO:GSE36099,PUBMED:22940246	P15037	ETS2_MOUSE	GEO:GSM881125,GEO:GSE36099,PUBMED:22940246	720	1716	5269	5253	51699
1055	EXP010246	Homo sapiens	2.3.3.50.1	CTCF	None	GM12864	PEAKS033549	CTCF [11]	EXP010686	Input	GEO:GSM749762,GEO:GSM749676,GEO:GSM1022664	P49711	CTCF_HUMAN	GEO:GSM749754	52532	4574	48139	48139	9157
1056	EXP010219	Mus musculus	2.3.3.50.1	CTCF		BMDM	PEAKS035472	CTCF [11]	EXP010930	Input	GEO:GSM918726	Q61164	CTCF_MOUSE	GEO:GSM918737,GEO:GSM1000206	21353	5987	34309	33990	1
1057	EXP031306	Mus musculus	2.3.1.3.2	sc-20690	LPS, 60 min	bone marrow-derived dendritic cells	PEAKS035879	EGR2 (Krox-20)	EXP031270	none	GEO:GSM881094,GEO:GSE36099,PUBMED:22940246	P08152	EGR2_MOUSE	GEO:GSM881125,GEO:GSE36099,PUBMED:22940246	74	1502	3527	3527	2617
1058	EXP032885	Mus musculus	3.5.3.0.4	anti-IRF4		CD8+ T cells	PEAKS036583	IRF-4 (LSIRF, NF-EM5, MUM1, Pip)	EXP032879	none	GEO:GSM1309511,PUBMED:24584090,GEO:GSM1309512,GEO:GSE54191	Q64287	IRF4_MOUSE	PUBMED:24584090,GEO:GSE54191,GEO:GSM1309531,GEO:GSM1309530,GEO:GSM1309529	4328	3289	12029	11995	
1059	EXP032633	Homo sapiens	2.3.3.50.1	CTCF (Millipore, 07-729)	siControl	SUM159PT	PEAKS035056	CTCF [11]	EXP032623		GEO:GSM1122667,GEO:GSE46055,PUBMED:24937458	P49711	CTCF_HUMAN	GEO:GSM1122668,GEO:GSE46055,PUBMED:24937458	39923	4821	53618	32323	
1060	EXP031848	Homo sapiens	6.3.1.0.1	p53 antibody (Cat number: sc-126 DO-1) from Santa Cruz (10 ug) [mouse monoclonal antibody, Lot:F0909]	senescent, p53 KO	IMR90	PEAKS034867	p53			GEO:GSM1048852,GEO:GSE42728,PUBMED:22802529	P04637	P53_HUMAN		9018	106383	16818	16818	3334
1061	EXP000095	Mus musculus	1.2.5.2.3	BMAL1		Liver, ZT02	PEAKS035453	ArntL (BMAL1)	EXP000094	input	GEO:GSM654880,GEO:GSM654881,GEO:GSE26602,PUBMED:21364973	Q9WTL8	BMAL1_MOUSE	GEO:GSM654892,GEO:GSE26602,PUBMED:21364973	1281	1470	1495	95	33
1062	EXP032410	Mus musculus	2.3.3.0.195	prdm5 ab2		mouse embryonic fibroblast	PEAKS036397	PRDM5 [16] (PFM2)			GEO:GSM1253184,GEO:GSE51816,PUBMED:24043305	Q9CXE0	PRDM5_MOUSE		2655		4001	4001	67586
1063	EXP000679	Mus musculus	2.1.3.1.1	polyclonal anti-RXRa	48hr ethanol	F9 embryonal carcinoma cells	PEAKS035321	RXR&#945; (NR2B1)	EXP000690	input	GEO:GSM757794,GEO:GSE30538,PUBMED:21988834	P28700	RXRA_MOUSE	GEO:GSM757813,GEO:GSE30538,PUBMED:21988834	369	7141	3921	0	12
1064	EXP010967	Homo sapiens	2.3.4.0.27	REST	None	K562	PEAKS033856	REST [1+7+1] (NRSF, XBR)	EXP010582	Input	GEO:GSM1003507	Q13127	REST_HUMAN	GEO:GSM733780	8816	4456	27043	27043	570
1065	EXP032391	Homo sapiens	2.6.1.0.7	(rb) ?-MLL4 (#403; Ali  Shilatifard)		HCT116	PEAKS034991	MLL2 (HRX2, KMT2D, WBP7, MLL4, TRX2)	EXP032389	none	GEO:GSM1240109,GEO:GSE51176,PUBMED:24081332	Q9UMN6	KMT2B_HUMAN	GEO:GSM1240117,GEO:GSE51176,PUBMED:24081332	11102	8240	22015	22015	62324
1066	EXP030526	Homo sapiens	2.1.1.2.1	SC-543 (Santa Cruz)	poor	primary breast tumor	PEAKS034515	Estrogen receptor &#945; (ER&#945;) (NR3A1)	EXP030519		GEO:GSM1003726,GEO:GSE40867,PUBMED:24242068	P03372	ESR1_HUMAN	GEO:GSM1003743,GEO:GSE40867,PUBMED:24242068	1318	1571	3052	116	56
1067	EXP000585	Homo sapiens	6.4.1.0.2	RUNX1		K562	PEAKS033154	Runx1 (PEBP2&#945;B, CBF-&#945;2, AML-1)	EXP000584		GEO:GSM610332,GEO:GSE24777,PUBMED:20959602	Q01196	RUNX1_HUMAN	GEO:GSM610331,GEO:GSE24777,PUBMED:20959602	3837	5476	8620	8002	3350
1068	EXP032750	Mus musculus	2.3.1.2.5	Klf5	KLF5 overexpression	CGR8	PEAKS036534	KLF5 (CKLF, IKLF, BTEB2)	EXP032746	None	GEO:GSM1324616,GEO:GSE49848	Q9Z0Z7	KLF5_MOUSE	GEO:GSM1208219,GEO:GSE49848	22850	7904	36461	5062	8
1069	EXP031477	Homo sapiens	3.5.2.1.6	ERG		RWPE1	PEAKS034771	ERG	EXP031476	none	GEO:GSM927071,GEO:GSE37752,PUBMED:22615383	P11308	ERG_HUMAN	GEO:GSM927072,GEO:GSE37752,PUBMED:22615383	6925	6048	10759	10759	128219
1070	EXP030610	Homo sapiens	2.1.1.1.4	AR	100 nM DHT	LNCaP-ARmo	PEAKS034532	Androgen receptor (AR) (NR3C4)	EXP030606	rabbit IgG	GEO:GSM1174482,GEO:GSE48308,PUBMED:21909140	P10275	ANDR_HUMAN	GEO:GSM1174489,GEO:GSE48308,PUBMED:21909140	293	383	1044	0	1
1071	EXP010004	Homo sapiens	2.3.3.50.1	CTCF	None	GM12873	PEAKS033420	CTCF [11]	EXP010053	Input	GEO:GSM749686,GEO:GSM1022629,GEO:GSM749730	P49711	CTCF_HUMAN	GEO:GSM749685	59697	5144	55183	55183	9617
1072	EXP032253	Mus musculus	1.1.8.1.1	C/EBPa (Santa Cruz sc-61)	none	Macrophage	PEAKS036316	C/EBP&#945;	EXP032240		GEO:GSM1183979,GEO:GSE48759,PUBMED:23932714	P53566	CEBPA_MOUSE	GEO:GSM1184041,GEO:GSE48759,PUBMED:23932714	34754	2714	20133	19874	1
1073	EXP031113	Homo sapiens	2.3.4.0.27	Millipore,17-641		K562 erythrocytic leukaemia cells (ATCC CCL-243)	PEAKS034695	REST [1+7+1] (NRSF, XBR)	EXP031108	None	GEO:GSM831015,GEO:GSE32509,PUBMED:22196736	Q13127	REST_HUMAN	GEO:GSE32509,GEO:GSM831022,GEO:GSM831023,GEO:GSM831024,PUBMED:22196736	9065	3865	34134	34134	390
1074	EXP031528	Mus musculus	3.5.2.5.1	anti-PU.1 (rabbit polyclonal against the N-terminus (aa. 1-100))	IFNg (100 ng/ml) for 1hrs	bone marrow-derived macrophages (7th day of differentiation)	PEAKS036005	PU.1 (Spi-1)			GEO:GSM1022312,GEO:GSE38377,PUBMED:23332752	P17433	SPI1_MOUSE		84144	136611	74676	74676	83355
1075	EXP010362	Homo sapiens	5.1.2.0.1	SRF	None	GM12878	PEAKS033617	SRF	EXP010094	RevXlinkChromatin	GEO:GSM803350	P11831	SRF_HUMAN	GEO:GSM803346	3191	2006	23670	23612	187
1076	EXP032408	Homo sapiens	6.1.4.1.1	Rabbit anti RBPJ	GSI 72 hrs, wash out 4 hrs	CUTLL1	PEAKS034997	RBP-J&#954;	EXP032403	none	GEO:GSM1252937,GEO:GSE51800,PUBMED:24374627	Q06330	SUH_HUMAN	GEO:GSM1252935,GEO:GSE51800,PUBMED:24374627	6467	5474	20938	18302	
1077	EXP010754	Homo sapiens	1.2.6.2.1	USF-1	EtOH_0.02pct	A549	PEAKS033821	USF-1	EXP010017	RevXlinkChromatin	GEO:GSM803429	P22415	USF1_HUMAN	GEO:GSM803412	15686	7544	19875	19875	2664
1078	EXP011090	Homo sapiens	2.3.3.50.1	CTCF	None	Monocytes-CD14+_RO01746	PEAKS033951	CTCF [11]	EXP010818	Input	GEO:GSM1003508	P49711	CTCF_HUMAN	GEO:GSM1003475	36945	13627	38270	38270	12657
1079	EXP010154	Homo sapiens	2.3.3.50.1	CTCF	None	NB4	PEAKS033497	CTCF [11]	EXP010801	Input	GEO:GSM1022643	P49711	CTCF_HUMAN	GEO:GSM749716,GEO:GSM945252	44122	23114	53258	53258	49906
1080	EXP032788	Homo sapiens	2.2.1.1.3	GATA3 serum (generated in rabbits using recombinant 6x histidine tag-fused GATA3 full-length wild-type protein)		T47D	PEAKS035109	GATA-3	EXP032784	none (input)	GEO:GSM1241754,GEO:GSE51274	P23771	GATA3_HUMAN	GEO:GSM1241755,GEO:GSE51274	18130	9948	29801	29801	21721
1081	EXP000491	Mus musculus	2.1.2.5.3	PPARg	Day 0 of differentiation	3T3L1 cells	PEAKS035375	PPAR&#947; (NR1C3)			GEO:GSM340794,GEO:GSE13511,PUBMED:18981474	P37238	PPARG_MOUSE		4489	2980	11066	11066	277
1082	EXP000618	Homo sapiens	3.3.1.1.1	FOXA1 - Cat# AB4124, Chemicon		MCF-7	PEAKS033367	FOXA1 (HNF-3&#945;)			GEO:GSM659788,GEO:GSE26831,PUBMED:21179027	P55317	FOXA1_HUMAN		6776	21289	11851	11851	6532
1083	EXP030675	Homo sapiens	2.1.1.2.1	SC-543		MCF-7	PEAKS034566	Estrogen receptor &#945; (ER&#945;) (NR3A1)			GEO:GSM675073,GEO:GSE27300,PUBMED:22049316	P03372	ESR1_HUMAN		2044	24707	7042	7042	3850
1084	EXP030889	Mus musculus	1.1.8.1.1	C/EBPalpha		differentiated 3T3-L1 cells	PEAKS035681	C/EBP&#945;	EXP030884	none	GEO:GSM427093,GEO:GSE17067,PUBMED:20442865	P53566	CEBPA_MOUSE	GEO:GSM427097,GEO:GSE17067,PUBMED:20442865	5958	8350	10709	10709	458
1085	EXP031061	Homo sapiens	3.5.2.4.3	elf5	doxycycline 48 hours	T47D	PEAKS034683	Elf-5 (ESE-2)	EXP031059		GEO:GSM773913,GEO:GSE31216,PUBMED:23300383	Q9UKW6	ELF5_HUMAN	GEO:GSM1155148,GEO:GSE31216,PUBMED:23300383	1089	600	2034	0	1
1086	EXP001007	Mus musculus	3.1.1.9.3	anti-V5 (Abcam, ab15828)	#????	Ainv15 (ATCC SCRC-1029) with inducible V5-tagged Hoxc9	PEAKS035421	CDX-4	EXP001009	anti-V5 (Abcam, ab15828)	GEO:GSM766060,GEO:GSE30882,PUBMED:22081127	Q07424	CDX4_MOUSE	GEO:GSM766062,GEO:GSE30882,PUBMED:22081127	8300	1163	6609	0	5
1087	EXP031660	Mus musculus	1.2.6.1.1	Tfe3 (Santa Cruz, sc-5958)		embryonic stem cell	PEAKS036051	TFE3	EXP031659	IgG antibodies (Santa Cruz, sc-2025)	GEO:GSM979714,GEO:GSE39815,PUBMED:23582324	Q64092	TFE3_MOUSE	GEO:GSM979717,GEO:GSE39815,PUBMED:23582324	12330	8331	11832	11832	11247
1088	EXP010498	Homo sapiens	3.5.1.6.4	BAF170	None	HeLa-S3	PEAKS033694	SMARCC2 (BAF170)	EXP010725	Input	GEO:GSM935638	Q8TAQ2	SMRC2_HUMAN	GEO:GSM935535	1547	1622	12184	0	1
1089	EXP030962	Mus musculus	2.3.4.0.27	anti-REST (Santa Cruz, #H-290)		Embryonic Stem Cells (ESCs)	PEAKS035706	REST [1+7+1] (NRSF, XBR)	EXP030959	input	GEO:GSM671095,GEO:GSE27148,PUBMED:22964890	Q8VIG1	REST_MOUSE	GEO:GSM671103,GEO:GSE27148,PUBMED:22964890	4615	4452	6967	6967	
1090	EXP033033	Mus musculus	2.3.1.2.5	anti-KLF5		3T3-L1	PEAKS036660	KLF5 (CKLF, IKLF, BTEB2)			GEO:GSM1370453,GEO:GSE56872	Q9Z0Z7	KLF5_MOUSE		28023	63171	34998	34998	37193
1091	EXP030601	Mus musculus	3.3.1.1.2	Goat anti-Foxa2 (Santa cruz;Hnf3b M-20 #6554)		Pancreas	PEAKS035599	FOXA2 (HNF-3&#946;)	EXP030595	none	GEO:GSE47459,GEO:GSM1150333,PUBMED:23754747,GEO:GSM1150335	P35583	FOXA2_MOUSE	GEO:GSM1150342,GEO:GSE47459,PUBMED:23754747	76381	6565	69583	69583	
1092	EXP011047	Homo sapiens	2.2.1.2.7	MTA3_(SC-81325)	None	GM12878	PEAKS033917	MTA3 = 3.5.1.3.6	EXP010843	RevXlinkChromatin	GEO:GSM1010729	Q9BTC8	MTA3_HUMAN	GEO:GSM1010867	11271	3778	52577	52577	70
1093	EXP031145	Mus musculus	2.3.4.4.1	Ikaros-N terminal Ab (IkN)		Thymus	PEAKS035779	IKZF1 [4+2] (IK1, IKAROS, Lyf-1, ZNFN1A1)	EXP031142	na	PUBMED:24013668,GEO:GSM832711,GEO:GSM840083,GEO:GSE33679	Q03267	IKZF1_MOUSE	GEO:GSM832715,GEO:GSE33679,PUBMED:24013668	7041	10782	16815	1	
1094	EXP030480	Homo sapiens	1.2.5.3.1	SRC-1 (Santa Cruz, M-341, sc-8495)	ethanol	LS180	PEAKS034487	NCoA-1 (SRC-1)			GEO:GSM959625,GEO:GSE39277,PUBMED:22944139	Q15788	NCOA1_HUMAN		3300	639488	8809	8809	114845
